label,score
1,175.14972
1,215.11203
1,131.01874
1,235.52225
1,176.67545
1,256.72357
1,187.25328
1,137.69547
1,201.73137
1,256.8948
1,224.0929
1,209.67926
1,232.83536
1,158.54764
1,191.66733
1,303.78485
1,206.13763
1,199.00032
1,187.59315
1,202.35385
1,205.39133
1,228.76387
1,197.67271
1,230.30957
1,244.74106
1,153.94456
1,274.55847
1,277.0011
1,242.5531
1,243.57814
1,203.27072
1,167.17947
1,284.77997
1,270.18506
1,200.38913
1,251.23386
1,254.86658
1,223.87325
1,286.4916
1,310.3572
1,273.8093
1,240.75362
1,302.29086
1,225.1456
1,290.62292
1,159.06624
1,276.67987
1,199.07582
1,279.8485
1,258.5591
1,275.52988
1,204.33414
1,276.3428
1,229.52249
1,261.44003
1,301.76636
1,207.73495
1,191.8975
1,178.76031
1,182.40181
1,297.7345
1,292.4747
1,269.28613
1,181.09123
1,326.95688
1,128.32321
1,222.32571
1,283.6215
1,210.63521
1,131.48083
1,154.93729
1,188.92151
1,197.72052
1,262.8432
1,182.44006
1,265.0406
1,241.75092
1,236.58345
1,214.09485
1,209.00719
1,229.25987
1,223.45555
1,217.85358
1,239.18755
1,219.08481
1,176.20222
1,213.28065
1,248.39302
1,192.60435
1,240.44489
1,180.74658
1,160.24948
1,160.46811
1,266.99268
1,194.67947
1,298.9764
1,270.1977
1,275.1601
1,378.07104
1,238.74553
1,236.05618
1,238.24152
1,187.1448
1,269.63208
1,280.15717
1,282.46378
1,212.26712
1,249.00374
1,270.50043
1,242.29381
1,242.47055
1,218.13705
1,150.12027
1,271.91785
1,281.57193
1,224.24945
1,254.35988
1,278.01132
1,245.01834
1,210.32674
1,241.676
1,284.37158
1,292.28937
1,251.52396
1,296.01645
1,218.85455
1,270.79333
1,241.76839
1,324.2737
1,371.57025
1,265.00217
1,249.66473
1,288.52792
1,188.69026
1,279.14435
1,294.264
1,276.7746
1,248.54341
1,172.24483
1,203.13863
1,266.88068
1,254.56436
1,197.25293
1,282.16858
1,231.07019
1,255.09033
1,254.79723
1,287.47302
1,269.2711
1,267.88892
1,249.33182
1,300.07095
1,184.96523
1,173.7871
1,193.71927
1,383.35626
1,298.35156
1,295.19458
1,223.15404
1,198.06569
1,384.64752
1,377.6272
1,338.83444
1,379.68298
1,330.09396
1,427.80057
1,256.61154
1,264.36368
1,318.74246
1,357.23575
1,348.25848
1,384.67746
1,290.90353
1,456.8052
1,233.80823
1,421.04242
1,303.54022
1,289.63705
1,334.65775
1,339.8108
1,373.8481
1,361.28015
1,385.296
1,336.4229
1,364.06055
1,323.4945
1,269.18738
1,281.82474
1,331.86487
1,241.85664
1,341.6999
1,346.54993
1,120.43356
1,106.824234
1,105.564445
1,157.62082
1,226.7568
1,155.95953
1,101.25809
1,140.34113
1,121.48922
1,138.36346
1,224.88599
1,141.60858
1,237.99849
1,153.80368
1,155.36394
1,151.54422
1,108.98984
1,149.13824
1,115.95426
1,219.30588
1,171.061
1,179.27063
1,168.1494
1,106.59256
1,171.53273
1,83.65819
1,157.44669
1,217.07013
1,155.09828
1,76.46283
1,170.53731
1,150.40262
1,265.98108
1,227.72127
1,189.46727
1,215.53535
1,235.11084
1,216.43964
1,198.1701
1,267.16846
1,151.46625
1,183.52385
1,231.61667
1,257.62125
1,312.09155
1,297.54318
1,347.44223
1,235.78906
1,270.04834
1,262.21063
1,201.54443
1,241.5751
1,231.03111
1,226.91011
1,185.20616
1,261.75372
1,322.51593
1,243.6216
1,201.52412
1,116.009674
1,288.40894
1,159.16159
1,130.88841
1,209.42682
1,242.20169
1,240.5075
1,310.20734
1,252.36975
1,189.83621
1,310.85565
1,348.01212
1,250.02281
1,176.35739
1,267.41718
1,256.1828
1,333.78714
1,253.11212
1,310.43808
1,323.4362
1,335.99823
1,341.74518
1,334.07455
1,258.03552
1,236.99103
1,255.5389
1,276.8526
1,327.59836
1,213.93433
1,189.01154
1,229.8039
1,163.30667
1,405.6875
1,177.3273
1,279.34692
1,256.29413
1,269.84604
1,323.06738
1,226.66714
1,169.75623
1,183.63235
1,329.14352
1,382.3841
1,264.4504
1,326.2625
1,251.70119
1,355.91864
1,210.72514
1,198.0456
1,320.04935
1,209.29033
1,270.70285
1,471.0172
1,260.15274
1,330.76868
1,257.41925
1,309.55243
1,297.98547
1,328.52094
1,328.04395
1,330.36472
1,312.99622
1,191.05028
1,337.2412
1,358.60104
1,315.39822
1,389.84113
1,242.31783
1,274.30475
1,175.6937
1,77.01314
1,105.46767
1,172.73642
1,205.214
1,114.463455
1,170.63974
1,156.71307
1,196.75912
1,240.79381
1,148.44618
1,166.0914
1,167.91089
1,141.16838
1,169.56326
1,132.51814
1,123.825424
1,106.115814
1,137.05907
1,183.73268
1,144.7583
1,127.374054
1,180.07596
1,162.05138
1,157.60153
1,215.03743
1,185.3216
1,179.41739
1,128.2997
1,149.86223
1,159.9201
1,139.71732
1,441.77
1,358.9728
1,374.5174
1,379.5418
1,376.5843
1,370.24744
1,439.08398
1,408.8924
1,370.64767
1,356.0882
1,370.54288
1,243.7814
1,263.59518
1,409.63354
1,463.7561
1,426.9857
1,385.46973
1,393.01913
1,329.17776
1,317.19885
1,389.47748
1,392.36108
1,439.16766
1,448.82578
1,347.02542
1,491.01282
1,468.9999
1,435.104
1,436.40582
1,391.53787
1,334.44382
1,437.1452
1,322.6832
1,372.03616
1,454.95645
1,440.06326
1,345.60532
1,431.40027
1,565.87305
1,432.98315
1,326.5165
1,437.74106
1,472.8086
1,480.8725
1,482.02454
1,299.84296
1,447.85233
1,329.34778
1,460.9827
1,551.34503
1,388.45502
1,444.0594
1,380.40472
1,471.3235
1,296.5673
1,519.49567
1,457.77765
1,440.8842
1,439.56165
1,408.8011
1,431.62625
1,400.8358
1,389.78604
1,496.44678
1,235.66286
1,183.75696
1,176.45428
1,133.60759
1,96.49412
1,113.91541
1,145.18286
1,132.89433
1,116.70007
1,132.70343
1,142.01791
1,166.73958
1,123.81494
1,147.51334
1,185.6786
1,199.5331
1,149.12712
1,139.73477
1,151.9006
1,79.61923
1,191.29036
1,101.690186
1,203.6066
1,169.2438
1,169.42274
1,160.7098
1,166.18933
1,198.37325
1,166.20247
1,172.64848
1,184.63425
1,163.42142
1,167.55754
1,110.03036
1,131.02063
1,188.48093
1,151.62149
1,115.5627
1,179.80637
1,106.36794
1,110.09738
1,133.48865
1,159.7522
1,161.28098
1,153.81976
1,87.93941
1,157.3468
1,173.15118
1,142.12228
1,194.56381
1,189.35619
1,140.39551
1,150.91254
1,180.15268
1,189.10663
1,117.194214
1,152.47389
1,112.176315
1,129.25557
1,91.83937
1,97.25169
1,141.18309
1,162.42093
1,115.007126
1,542.122
1,591.4438
1,476.42197
1,592.1005
1,592.32556
1,546.0306
1,665.01855
1,520.2027
1,570.98737
1,673.544
1,465.91354
1,437.79468
1,609.02374
1,557.36536
1,547.6383
1,650.9382
1,657.74255
1,653.4793
1,604.3882
1,662.70447
1,584.85846
1,574.0185
1,552.1731
1,613.68555
1,561.8827
1,536.92804
1,571.298
1,400.27887
1,570.93225
1,629.62646
1,707.0686
1,637.38837
1,241.55124
1,261.50104
1,271.36172
1,294.0237
1,278.60553
1,255.31506
1,274.5763
1,222.87546
1,290.01028
1,383.84534
1,365.50027
1,302.49484
1,257.7351
1,297.8687
1,271.24902
1,283.5858
1,301.5669
1,294.9619
1,332.24963
1,284.39435
1,285.06952
1,283.06732
1,281.28543
1,303.31784
1,325.03116
1,196.93906
1,238.6409
1,244.04242
1,330.48175
1,322.8454
1,360.02203
1,276.8977
1,212.15598
1,185.70837
1,193.78133
1,184.71745
1,165.80722
1,158.84802
1,196.51437
1,146.18617
1,121.02289
1,173.24916
1,228.927
1,207.3627
1,178.77577
1,115.24733
1,128.67616
1,89.50522
1,170.04866
1,113.48704
1,170.15665
1,179.74252
1,160.93402
1,201.83536
1,166.40295
1,122.952576
1,153.83871
1,195.62674
1,157.03366
1,152.72388
1,187.82785
1,178.55522
1,179.82277
1,172.55678
1,249.38814
1,349.47293
1,325.88208
1,316.16437
1,431.3989
1,322.58102
1,176.0179
1,332.1865
1,330.38748
1,338.40213
1,247.45886
1,381.97525
1,425.03333
1,349.14255
1,339.85208
1,307.6635
1,356.6622
1,375.03702
1,412.64
1,321.66
1,349.63345
1,324.2546
1,349.79736
1,384.49048
1,326.18347
1,291.36203
1,376.94952
1,302.6111
1,375.04904
1,192.59933
1,349.79803
1,307.02063
1,337.67346
1,332.17645
1,377.6364
1,329.65887
1,391.37607
1,356.3909
1,349.72427
1,339.75607
1,337.4279
1,338.55542
1,381.4837
1,338.1192
1,377.79346
1,344.4876
1,338.28046
1,390.03766
1,376.5851
1,223.3085
1,315.9252
1,354.73077
1,358.7964
1,361.3999
1,393.51337
1,355.62955
1,365.10382
1,435.92514
1,387.40338
1,189.0993
1,330.3347
1,167.71568
1,262.52948
1,322.60242
1,318.63513
1,268.1872
1,345.25854
1,258.3307
1,295.6167
1,285.90674
1,343.8854
1,316.259
1,231.52809
1,239.1483
1,291.9868
1,254.60011
1,240.05537
1,283.60495
1,319.6466
1,309.43176
1,228.68436
1,309.71075
1,315.85715
1,373.90985
1,304.32382
1,307.71097
1,237.27007
1,323.19122
1,335.05765
1,351.01636
1,317.95877
1,282.12033
1,177.15575
1,291.59406
1,295.23474
1,214.14633
1,114.32639
1,151.60968
1,102.99802
1,130.84885
1,82.96948
1,116.67973
1,133.12819
1,114.67363
1,128.0906
1,130.93384
1,80.81457
1,171.02255
1,75.513084
1,96.36598
1,79.93513
1,155.87999
1,161.54106
1,95.282104
1,124.931175
1,108.641426
1,70.30971
1,116.03388
1,125.59742
1,120.63911
1,131.20332
1,134.36526
1,116.75342
1,100.52439
1,120.9069
1,127.43709
1,147.13992
1,159.67111
1,288.7014
1,375.36203
1,298.2367
1,273.95306
1,450.38806
1,328.41336
1,380.33038
1,341.68298
1,418.29764
1,335.1608
1,338.1061
1,406.1617
1,348.10745
1,311.60748
1,336.4553
1,359.82056
1,336.6002
1,283.88055
1,342.36765
1,390.768
1,378.91855
1,354.31183
1,360.74756
1,326.9878
1,378.37173
1,371.4757
1,393.39417
1,296.44904
1,134.55806
1,215.07297
1,334.83798
1,337.4975
1,293.64075
1,275.25247
1,288.35092
1,288.86
1,321.89078
1,255.92389
1,197.96227
1,304.1313
1,263.0218
1,271.8351
1,176.93797
1,325.14536
1,231.26997
1,238.46205
1,227.03067
1,240.36224
1,252.2886
1,309.37524
1,258.09137
1,166.45769
1,282.46567
1,182.84029
1,245.47787
1,246.39348
1,263.1548
1,201.9898
1,273.99347
1,170.00742
1,308.05908
1,363.65094
1,303.32132
1,237.87062
1,236.93304
1,321.7088
1,344.87268
1,306.6048
1,321.2985
1,287.5728
1,318.8263
1,339.53262
1,292.43668
1,332.83328
1,309.7911
1,320.62122
1,354.2895
1,310.1759
1,293.2811
1,236.5946
1,336.85364
1,349.25812
1,311.9093
1,317.43613
1,313.7191
1,307.10095
1,269.93094
1,301.8647
1,342.08124
1,256.4157
1,341.27774
1,320.12155
1,357.7955
1,318.37314
1,220.44783
1,291.7123
1,529.1858
1,410.19006
1,552.4429
1,514.7478
1,569.77356
1,347.30588
1,367.62665
1,463.5714
1,554.5006
1,546.3915
1,533.1554
1,531.2992
1,547.5567
1,498.3827
1,549.0169
1,472.42865
1,563.73724
1,566.4146
1,538.35297
1,512.6634
1,548.34656
1,611.28937
1,370.0995
1,540.53406
1,470.49542
1,403.5158
1,553.50586
1,541.4961
1,332.67035
1,439.50452
1,483.3138
1,504.14703
1,680.08734
1,690.12067
1,465.6613
1,537.08624
1,767.5021
1,652.6275
1,653.7062
1,807.7493
1,630.3474
1,667.3055
1,667.4543
1,714.28827
1,705.4844
1,715.52765
1,704.6099
1,640.21454
1,398.076
1,575.87646
1,551.98065
1,706.3705
1,608.19476
1,749.48944
1,721.66315
1,677.0292
1,709.96356
1,615.1492
1,672.5961
1,676.6253
1,680.8933
1,654.9741
1,622.7945
1,484.12872
1,192.45282
1,107.913376
1,125.159874
1,138.46065
1,91.61491
1,152.93567
1,146.81252
1,177.56908
1,129.15982
1,172.92923
1,139.09103
1,157.22858
1,168.89859
1,161.16399
1,177.7938
1,154.41699
1,142.60493
1,164.76492
1,223.31604
1,187.18732
1,118.66821
1,138.78142
1,81.27821
1,125.23598
1,178.67368
1,160.37396
1,87.025795
1,189.54874
1,171.04329
1,148.35454
1,125.50462
1,144.2203
1,279.26187
1,298.01453
1,309.77045
1,293.4975
1,299.51553
1,283.81235
1,267.49408
1,381.0833
1,401.68433
1,316.7602
1,199.79132
1,209.67328
1,278.39468
1,261.91156
1,210.70868
1,249.50758
1,258.0387
1,171.48904
1,245.21658
1,285.98035
1,176.2338
1,151.00165
1,245.59167
1,285.42023
1,287.43152
1,243.40373
1,202.25076
1,199.43106
1,249.56581
1,246.46402
1,256.89774
1,121.63128
1,276.83322
1,288.56888
1,286.49884
1,284.97162
1,231.9124
1,226.3147
1,250.33662
1,277.49698
1,215.49911
1,236.92068
1,268.85693
1,224.76904
1,259.101
1,232.06914
1,250.16891
1,221.42586
1,225.08258
1,245.26186
1,251.71211
1,224.12367
1,273.42484
1,239.53214
1,206.83621
1,241.79765
1,194.27014
1,217.37973
1,238.0033
1,125.10798
1,287.70703
1,212.44069
1,296.37003
1,255.58801
1,458.87808
1,359.86172
1,409.29422
1,327.4522
1,526.70264
1,374.1723
1,384.94598
1,453.49243
1,477.7464
1,427.23642
1,445.16766
1,385.1864
1,321.53458
1,368.21542
1,313.05237
1,424.00156
1,378.29193
1,411.1276
1,239.41417
1,615.9343
1,378.57114
1,452.02994
1,380.55142
1,331.062
1,370.38718
1,304.22595
1,431.5702
1,433.18005
1,416.59033
1,420.27905
1,439.3369
1,538.04865
1,273.2785
1,266.5022
1,287.27374
1,267.31512
1,270.70697
1,128.17068
1,255.11734
1,261.5268
1,319.01468
1,211.62875
1,216.47406
1,252.5125
1,269.2694
1,211.18332
1,209.62448
1,238.89977
1,283.13086
1,208.99834
1,255.4516
1,246.14497
1,234.15231
1,207.47763
1,248.47269
1,318.86966
1,269.90482
1,257.58868
1,250.56778
1,361.05066
1,225.29724
1,290.87997
1,275.71143
1,319.46048
1,704.42596
1,606.8261
1,627.8319
1,528.7926
1,711.9786
1,386.94037
1,599.5687
1,552.8281
1,617.302
1,595.57214
1,556.6485
1,664.19434
1,486.41714
1,509.96808
1,547.383
1,597.2462
1,676.8639
1,574.72424
