label,score
1,137.43404
1,277.9196
1,254.68054
1,301.23962
1,337.6068
1,310.1197
1,283.6501
1,245.78563
1,307.50256
1,178.49387
1,156.242
1,249.77861
1,321.66977
1,277.3523
1,344.0946
1,246.91916
1,156.69244
1,175.86627
1,339.68353
1,160.51666
1,325.16345
1,300.7218
1,317.95285
1,158.74475
1,293.00928
1,159.89542
1,314.21426
1,161.31516
1,261.43802
1,331.6474
1,279.49606
1,220.01851
1,306.4617
1,320.5006
1,180.37625
1,146.22787
1,254.79561
1,226.72124
1,229.08171
1,169.15613
1,250.4302
1,276.7959
1,237.71732
1,294.53534
1,146.97897
1,200.28474
1,131.11221
1,320.31683
1,181.66083
1,167.95335
1,256.65717
1,167.82791
1,294.27405
1,266.4532
1,289.40106
1,308.06232
1,314.93246
1,175.63512
1,165.53754
1,259.63376
1,150.22418
1,156.99597
1,223.07898
1,233.9761
1,233.35696
1,246.47256
1,269.5147
1,326.8968
1,177.6893
1,277.81424
1,179.02602
1,324.40027
1,153.43967
1,308.3302
1,171.75543
1,170.18416
1,314.46985
1,265.50873
1,256.4347
1,226.38895
1,131.8017
1,325.65744
1,230.6977
1,233.12769
1,142.23788
1,191.1702
1,290.73126
1,266.02222
1,181.16916
1,306.13928
1,328.61133
1,254.00555
1,168.80841
1,178.62605
1,196.70522
1,318.03546
1,279.6676
1,203.55115
1,164.69183
1,251.00082
1,252.42268
1,147.38275
1,137.6744
1,272.0379
1,182.30334
1,167.71866
1,233.25876
1,265.0811
1,298.42316
1,149.12239
1,292.85422
1,138.94913
1,240.44334
1,213.09464
1,212.36986
1,311.84503
1,310.40594
1,240.40523
1,230.82674
1,127.604164
1,177.12637
1,158.60384
1,179.75925
1,279.00168
1,175.5877
1,294.87854
1,269.46448
1,296.01453
1,288.29504
1,299.74683
1,281.57962
1,300.55173
1,233.7572
1,240.23343
1,311.6452
1,201.9749
1,229.72177
1,306.92172
1,297.52145
1,334.4614
1,209.62764
1,291.8672
1,182.63144
1,228.72519
1,306.08466
1,305.29126
1,194.44218
1,262.32864
1,320.49213
1,167.83415
1,291.68805
1,138.79544
1,314.90845
1,167.21277
1,258.72528
1,227.11893
1,322.0063
1,169.1004
1,315.07437
1,280.3919
1,218.38033
