,autoencoder,vae,fanogan,ganomaly,lraad,improved_lraad
ssva1,0.3640,0.2736,0.2261,0.5268,0.5629,0.8279
ssva2,0.4405,0.2472,0.2318,0.6353,0.6658,0.8068
ssva3,0.6024,0.3372,0.2651,0.6810,0.7020,0.9167
ssva4,0.5487,0.3345,0.3136,0.6635,0.6993,0.8059
ssva5,0.4090,0.3700,0.3964,0.7626,0.7400,0.6544
ssva6,0.2168,0.1566,0.1624,0.2330,0.3791,0.8936
