,autoencoder,vae,fanogan,ganomaly,lraad,improved_lraad
ssva1,0.5431,0.4503,0.3809,0.6417,0.7078,0.8706
ssva2,0.5355,0.4192,0.4037,0.7324,0.7865,0.8798
ssva3,0.7041,0.5225,0.4598,0.7496,0.8176,0.9399
ssva4,0.6142,0.5014,0.4532,0.7609,0.8173,0.9108
ssva5,0.5465,0.5390,0.5371,0.8332,0.8115,0.8306
ssva6,0.3801,0.3190,0.3227,0.3935,0.5377,0.9097
