,autoencoder,vae,fanogan,ganomaly,lraad,improved_lraad
ssva1,0.6664,0.5824,0.5161,0.7232,0.7930,0.9162
ssva2,0.6394,0.5559,0.5487,0.7843,0.8430,0.9152
ssva3,0.7605,0.6576,0.5935,0.8076,0.8639,0.9538
ssva4,0.6972,0.6252,0.5790,0.8164,0.8342,0.9118
ssva5,0.6529,0.6569,0.6423,0.8705,0.8866,0.8794
ssva6,0.5262,0.4656,0.4589,0.5243,0.6335,0.9377
