label,score
1,93.413086
1,100.94304
1,94.08698
1,109.336624
1,103.97185
1,98.057014
1,85.16206
1,99.42931
1,94.34218
1,108.09556
1,99.54937
1,102.88743
1,99.80713
1,108.962006
1,91.143776
1,107.12561
1,102.730995
1,98.22356
1,101.97625
1,99.021774
1,97.89143
1,104.1834
1,110.10671
1,105.94466
1,105.42796
1,104.76512
1,104.39633
1,104.35475
1,105.466934
1,78.411194
1,101.28989
1,108.770676
1,97.66608
1,101.76558
1,99.164444
1,99.270065
1,86.83635
1,91.04637
1,95.360275
1,92.717804
1,94.13587
1,111.11031
1,106.10557
1,104.57243
1,105.46503
1,98.11731
1,84.40163
1,101.90741
1,103.128586
1,102.68061
1,102.79134
1,104.20463
1,100.11545
1,90.12433
1,100.00244
1,99.88341
1,96.144745
1,98.0945
1,82.53638
1,89.78217
1,101.60633
1,99.78505
1,95.08128
1,85.13341
1,112.72005
1,117.04109
1,93.28892
1,109.22014
1,93.223724
1,109.96144
1,108.6227
1,95.80766
1,106.703186
1,110.54439
1,110.69135
1,106.27763
1,104.28541
1,106.935875
1,103.75413
1,104.251144
1,96.86984
1,98.98075
1,110.701645
1,101.585785
1,112.69312
1,103.44362
1,95.36981
1,114.40141
1,104.79053
1,101.33068
1,98.602646
1,107.54317
1,99.21532
1,95.3477
1,100.393265
1,104.042725
1,99.800644
1,89.79675
1,84.15339
1,104.11098
1,92.78038
1,88.26327
1,101.16084
1,101.649
1,98.66355
1,99.16775
1,101.28194
1,105.72643
1,98.89925
1,106.97983
1,100.922455
1,98.29078
1,92.982506
1,99.10569
1,104.912605
1,96.642586
1,106.24974
1,91.41883
1,100.54717
1,97.76138
1,86.29181
1,105.88106
1,98.34979
1,98.387825
1,103.33829
1,97.937836
1,101.49722
1,105.06503
1,90.08237
1,96.99325
1,97.04759
1,111.260056
1,100.24628
1,101.69412
1,111.71278
1,94.93666
1,99.32033
1,87.265396
1,101.044815
1,107.771286
1,105.18306
1,101.328964
1,106.11409
1,98.37207
1,101.66557
1,88.19098
1,104.78058
1,105.718956
1,93.37531
1,98.83011
1,99.60422
1,91.96851
1,96.37323
1,96.99814
1,101.15267
1,112.00443
1,88.194984
1,94.5932
1,88.91175
1,107.59775
1,96.61959
1,106.84749
1,105.33162
1,105.53475
1,99.710884
1,106.606766
1,110.11955
1,89.42558
1,94.440575
1,98.31657
1,87.69567
1,96.02909
1,102.2962
1,108.9899
1,98.49303
1,95.772125
1,108.6337
1,90.47337
1,106.63448
1,89.18202
1,100.95375
1,105.85382
1,103.37329
1,107.105835
1,101.71181
1,100.97769
1,100.99121
1,96.332016
1,92.74518
1,96.32749
1,98.14819
1,86.71631
1,96.808304
1,108.27827
1,97.33792
1,109.98036
1,106.583115
1,99.665504
1,106.99851
1,95.078926
1,97.15408
1,88.21823
1,111.80116
1,101.35053
1,113.230515
1,92.121216
1,100.253136
1,90.94318
