label,score
1,133.39996
1,267.3316
1,255.44794
1,290.83
1,321.6456
1,296.08194
1,268.3555
1,234.02728
1,296.35284
1,169.72382
1,148.07585
1,242.3251
1,303.58105
1,270.20078
1,309.53726
1,240.21101
1,153.60876
1,168.41684
1,326.44922
1,150.59511
1,309.41138
1,285.54675
1,307.6985
1,152.05966
1,279.38666
1,155.2871
1,286.3297
1,154.0574
1,246.45871
1,330.27032
1,267.90002
1,210.18387
1,303.31183
1,309.2791
1,171.2721
1,139.29912
1,256.22018
1,206.72206
1,224.70572
1,157.65166
1,232.11682
1,257.79886
1,225.75719
1,281.68228
1,138.3197
1,191.30954
1,131.39624
1,308.70795
1,181.24063
1,168.7594
1,250.21054
1,164.52786
1,274.10696
1,250.72353
1,276.354
1,286.65842
1,305.4844
1,171.30118
1,158.05614
1,254.1603
1,141.97409
1,152.1814
1,223.62674
1,236.50952
1,218.64832
1,240.81537
1,269.83304
1,307.63348
1,172.22186
1,269.83514
1,173.797
1,311.57416
1,151.82059
1,303.27756
1,166.83199
1,162.30994
1,312.9664
1,246.76993
1,255.15448
1,213.34703
1,132.05725
1,308.20776
1,219.9289
1,223.73917
1,139.0411
1,181.87674
1,274.98538
1,259.45154
1,167.5401
1,302.55353
1,316.9309
1,251.16394
1,168.98018
1,171.44577
1,194.87076
1,298.78375
1,258.2486
1,192.79922
1,152.39856
1,235.69667
1,243.13121
1,143.37416
1,133.13947
1,250.03214
1,170.36035
1,164.13232
1,215.5499
1,247.71701
1,286.477
1,142.12262
1,279.54773
1,130.34991
1,230.81284
1,202.96083
1,202.65675
1,298.64743
1,295.27747
1,228.29282
1,220.77576
1,128.55074
1,164.29796
1,149.56052
1,167.18391
1,260.29474
1,168.76682
1,282.46823
1,257.7272
1,278.31525
1,266.99365
1,270.15527
1,264.47827
1,286.23972
1,220.61504
1,227.46161
1,290.52228
1,192.87238
1,219.14131
1,282.31213
1,274.99768
1,323.01062
1,199.48303
1,290.4693
1,174.91293
1,228.93279
1,286.11282
1,289.7541
1,192.8092
1,253.84985
1,300.43204
1,157.52611
1,272.73938
1,129.15439
1,306.88153
1,160.1684
1,244.33601
1,225.88751
1,312.0143
1,156.0537
1,299.08008
1,272.9625
1,211.84784
1,197.21042
1,210.03412
1,261.16058
1,283.1666
1,169.54012
1,125.49365
1,287.49048
1,156.1046
1,157.63512
1,262.99725
1,186.89403
1,150.89757
1,281.85507
1,278.83792
1,163.89392
1,281.60788
1,251.38968
1,149.43819
1,274.05298
1,169.11339
1,201.60721
1,181.52191
1,345.4058
1,266.6035
1,210.82695
1,229.54288
1,307.10336
1,166.0288
1,223.99002
1,315.51843
1,227.3966
1,238.8231
1,328.36078
1,235.70734
1,265.2793
1,274.36902
1,300.1965
1,200.01556
1,214.81114
1,143.48184
1,194.57599
1,170.37894
1,223.97726
1,286.70804
1,216.46704
1,201.39305
1,238.06287
1,305.53833
1,387.9577
1,204.53473
1,329.5773
1,292.4635
1,229.38971
1,211.11574
1,211.34047
