label,score
1,237.78235
1,283.15082
1,285.2721
1,292.2284
1,286.7154
1,287.53723
1,279.7536
1,264.42767
1,300.9566
1,230.37476
1,249.82666
1,277.61243
1,285.1826
1,290.362
1,287.87857
1,277.05475
1,229.77069
1,252.35495
1,299.1721
1,229.25699
1,287.93118
1,287.12265
1,293.79364
1,227.29797
1,280.20184
1,258.42468
1,290.38907
1,231.1964
1,255.15942
1,316.86664
1,295.98807
1,265.34534
1,291.39346
1,288.95932
1,239.72565
1,226.86618
1,291.40027
1,245.38193
1,272.74542
1,229.76471
1,257.1619
1,279.96423
1,266.82208
1,271.66183
1,226.97095
1,261.9262
1,232.37477
1,282.23962
1,257.5055
1,256.65353
1,290.95465
1,236.69873
1,263.2058
1,267.7639
1,281.9688
1,279.6302
1,285.24557
1,245.34543
1,224.61252
1,275.07806
1,240.24338
1,225.59738
1,277.07004
1,277.15088
1,244.96957
1,279.2731
1,302.78043
1,283.9015
1,255.25003
1,284.15887
1,236.69931
1,303.64728
1,238.2505
1,289.5929
1,262.41748
1,236.4541
1,292.07178
1,249.21701
1,267.70215
1,266.6514
1,232.6654
1,281.9742
1,252.922
1,270.83682
1,239.59058
1,240.61606
1,273.67508
1,283.4023
1,225.09033
1,284.83008
1,285.66437
1,294.71475
1,247.84308
1,258.17584
1,261.121
1,281.0445
1,271.7536
1,240.9649
1,229.16579
1,263.57184
1,287.1616
1,223.9129
1,237.18106
1,256.07635
1,257.79486
1,249.05518
1,260.03732
1,279.6646
1,277.78613
1,226.08763
1,286.10526
1,243.11044
1,263.77008
1,246.5815
1,261.1051
1,284.1051
1,281.86868
1,260.63635
1,250.29077
1,235.8717
1,221.30788
1,246.22638
1,224.87573
1,260.87372
1,238.75867
1,266.9025
1,292.45493
1,274.56055
1,282.5052
1,276.62396
1,271.64728
1,295.34253
1,275.2956
1,265.44012
1,274.88635
1,230.90985
1,263.7282
1,283.1297
1,266.07947
1,295.38586
1,252.99432
1,295.67227
1,241.85313
1,253.57852
1,284.49203
1,271.33133
1,272.98175
1,291.5752
1,280.1745
1,233.37073
1,270.1363
1,245.49426
1,304.9117
1,236.34479
1,266.9951
1,272.7624
1,295.6528
1,237.27805
1,281.91647
1,272.87164
1,249.18158
1,251.18018
1,273.41595
1,267.7598
1,277.14404
1,229.33395
1,233.59573
1,282.52527
1,226.47949
1,231.24423
1,268.46844
1,223.67404
1,237.52219
1,279.35278
1,270.44983
1,243.47456
1,261.21695
1,286.70764
1,230.99998
1,285.10468
1,230.56139
1,262.47882
1,253.23096
1,310.9726
1,278.58664
1,252.28474
1,274.26288
1,266.5885
1,252.07938
1,258.21484
1,288.3827
1,264.1175
1,254.62927
1,296.589
1,259.48022
1,269.4577
1,280.35577
1,288.30408
1,267.54807
1,255.01015
1,213.33197
1,252.93564
1,239.30331
1,265.9463
1,300.99844
1,258.97766
1,272.65826
1,284.5172
1,279.39694
1,349.83835
1,267.15234
1,297.55927
1,279.08228
1,254.1046
1,247.96463
1,252.21579
1,252.97296
1,271.5509
1,264.3025
1,259.64948
1,301.451
1,272.39127
1,283.91946
1,273.77667
1,230.69208
1,284.67563
1,266.11325
1,297.62885
1,241.86667
1,280.89587
1,242.03598
1,239.44781
1,233.19379
1,260.75128
1,277.197
1,249.1092
1,276.05997
1,232.02966
1,268.27963
1,295.02185
1,254.3399
1,277.73114
1,249.44905
1,287.0723
1,256.54828
1,236.50621
1,282.17737
1,358.2298
1,220.82553
1,280.24387
1,225.48495
1,258.70007
1,292.025
1,269.44427
1,254.1175
1,232.75749
1,245.24231
1,257.89594
1,284.6173
1,261.82092
1,262.24725
1,261.33417
1,272.43317
1,278.95013
1,246.65707
1,233.50967
1,272.67053
1,270.38318
1,305.92538
1,268.17935
1,230.04745
1,274.2284
1,232.66287
1,266.10806
1,265.10815
1,229.2463
1,282.19342
1,275.99792
1,283.73203
1,253.49344
1,271.45245
1,241.77463
1,273.35114
1,276.7497
1,255.98277
1,275.29346
1,234.47156
1,286.5821
1,232.03491
1,250.5821
1,237.05524
1,301.22144
1,275.13873
1,236.43317
1,292.69647
1,221.70062
1,238.76065
1,272.53815
1,261.77518
1,287.77307
1,272.88092
1,288.37988
1,294.08282
1,228.19379
1,245.9802
1,262.2472
1,271.2245
1,262.96252
1,279.07587
1,252.32748
1,338.26678
1,250.9144
1,289.11877
1,305.83545
1,286.6741
1,224.19403
1,267.10718
1,276.7166
1,241.08786
1,258.84088
1,280.0618
1,246.31726
1,246.59467
1,279.16214
1,287.5522
1,315.58478
1,263.34973
1,257.8949
1,250.1635
1,292.15604
1,342.262
1,269.2447
1,276.48087
1,265.85406
1,253.37875
1,233.0314
1,259.86084
1,251.27704
1,277.14587
1,241.47556
1,225.48361
1,360.7578
1,273.98883
1,266.56885
1,278.23285
1,266.6209
1,254.9075
1,276.3977
1,228.31258
1,246.5029
1,281.6278
1,273.79315
1,280.50858
1,261.45328
1,251.38985
1,262.137
1,304.71167
1,286.2802
1,255.36406
1,234.80261
1,253.70123
1,263.72675
1,299.59943
1,256.6187
1,248.94359
1,267.73892
1,260.8837
1,297.0127
1,284.60938
1,270.331
1,261.26178
1,251.4108
1,230.08649
1,275.74448
1,298.08868
1,275.18256
1,243.17792
1,278.0536
1,304.5787
1,272.88922
1,232.99889
1,261.16312
1,267.7765
1,278.7782
1,235.66264
1,251.18875
1,251.76212
1,277.38425
1,247.30403
1,256.80768
1,258.21265
1,276.99377
1,278.70853
1,290.08508
1,263.02194
1,285.44226
1,266.81134
1,285.57275
1,262.96796
1,265.67325
1,297.96094
1,277.378
1,250.76653
1,257.19708
1,294.27844
1,236.52261
1,276.39734
1,225.61229
1,281.4788
1,255.29369
1,246.99178
1,317.03708
1,295.06232
1,218.75366
1,228.58853
1,266.91022
1,291.44104
1,262.4901
1,236.39268
1,222.93188
1,281.97995
1,279.10684
1,220.63054
1,265.2721
1,267.0432
1,230.89598
1,251.85223
1,257.4337
1,256.85803
1,279.99496
1,283.56308
1,250.82513
1,263.3476
1,274.1762
1,235.99568
1,251.26273
1,271.81143
1,292.30515
1,230.02237
1,246.53848
1,268.8391
1,281.02448
1,283.2204
1,294.11902
1,297.39203
1,255.67455
1,273.2555
1,243.47627
1,299.9339
1,265.39056
1,260.86652
1,222.86102
1,252.00748
1,262.67316
1,284.56366
1,273.94992
1,231.58743
1,272.1261
1,251.08292
1,284.86865
1,292.11664
1,268.393
1,284.04407
1,263.1617
1,270.35123
1,255.23727
1,293.44495
1,261.36523
1,302.3134
1,315.8803
1,283.52808
1,287.44757
1,256.28674
1,239.04076
1,285.61432
1,299.89386
1,284.886
1,221.21947
1,264.1642
1,215.28247
1,265.26785
1,270.86893
1,284.83093
1,277.14038
1,276.7962
1,265.72675
1,275.17316
1,281.59885
1,277.8478
1,223.81485
1,246.73172
1,284.04425
1,275.45724
1,275.12598
1,282.7554
1,287.49274
1,232.6597
1,298.79065
1,231.61697
1,276.41202
1,263.72113
1,245.7379
1,237.68788
1,274.51392
1,220.37921
1,296.29785
1,234.33557
1,234.1471
1,249.54095
1,317.21616
1,266.54236
1,313.55765
1,228.41045
1,261.6878
1,267.62973
1,258.4876
1,299.00604
1,258.30768
1,265.1508
1,280.47583
1,279.33722
1,251.41277
1,249.17151
1,218.71776
1,278.84436
1,290.5149
1,216.00064
1,283.09772
1,247.08847
1,267.1477
1,261.49625
1,263.972
1,257.9137
1,272.47797
1,217.57195
1,239.0686
1,233.31116
1,282.23956
1,259.97964
1,240.40898
1,250.55847
1,282.01678
1,281.55588
1,274.08337
1,263.242
1,290.36365
1,236.13765
1,266.793
1,247.87575
1,283.21234
1,275.10425
1,233.20102
1,221.62166
1,299.6598
1,282.73962
1,290.46066
1,266.8109
1,289.31268
1,257.6614
1,252.853
1,227.07278
1,294.19232
1,272.01132
1,223.07742
1,279.47827
1,250.59042
1,298.88086
1,285.71658
1,366.85016
1,263.35504
1,292.6833
1,265.08084
1,229.41396
1,225.70537
1,260.03125
1,250.88437
1,284.18582
1,249.65874
1,226.38477
1,223.959
1,260.9638
1,291.1457
1,231.85495
1,284.99933
1,242.4585
1,285.90256
1,287.47327
1,278.60846
1,269.66876
1,231.66574
1,345.6701
1,263.32556
1,241.1551
1,270.71185
1,265.635
1,259.92218
1,223.7258
1,237.66809
1,273.70966
1,240.59688
1,254.89789
1,231.59839
1,285.3519
1,281.38495
1,270.1979
1,271.3352
1,221.01163
1,271.6988
1,238.81433
1,263.35104
1,276.7464
1,247.15358
1,260.9184
1,272.3677
1,277.54108
1,298.8959
1,272.6808
1,282.55753
1,265.90625
1,262.73007
1,235.6293
1,251.71939
1,223.17694
1,241.9851
1,231.74208
1,253.1988
1,221.9658
1,255.03809
1,262.71973
1,278.35266
1,271.28986
1,280.5118
1,277.71677
1,283.4564
1,247.99557
1,280.7
1,259.9505
1,279.70294
1,259.8869
1,263.93494
1,237.22919
1,255.12836
1,270.99725
1,227.451
1,241.45026
1,235.04721
1,263.13843
1,228.01443
1,274.18414
1,262.69855
1,265.28595
1,248.25076
1,297.22552
1,226.51956
1,288.4389
1,278.5243
1,278.66837
1,248.39056
1,271.38654
1,281.00092
1,302.58093
1,225.27855
1,265.80084
1,234.2684
1,268.48468
1,259.00018
1,291.71747
1,274.5605
1,283.19934
1,266.17877
1,229.75092
1,269.00415
1,273.05792
1,294.24744
1,224.35086
1,290.31683
1,301.24457
1,264.54016
1,226.7046
1,310.0963
1,268.34985
1,294.75723
1,286.2044
1,231.21693
1,274.4317
1,293.10663
1,296.6847
1,277.51093
1,274.40472
1,284.3634
1,275.1581
1,255.06038
1,265.39505
1,245.36234
1,282.7177
1,264.42285
1,289.80496
1,263.79352
1,273.2934
1,285.56952
1,284.0205
1,275.86487
1,244.46184
1,269.37158
1,251.14343
1,221.99878
1,225.1633
1,228.92834
1,287.00992
1,267.67212
1,283.43076
1,316.35434
1,226.89648
1,221.77528
1,254.24728
1,286.98303
1,233.32828
1,229.76253
1,274.93634
1,264.17917
1,234.40894
1,242.59636
1,254.06442
1,268.9071
1,280.21753
